"SYMBOL","OPEN","HIGH","LOW","PREV. CLOSE","LTP","CHNG","%CHNG","VOLUME","VALUE","52W H","52W L","365 D % CHNG","30 D % CHNG"
"NIFTY IT","36,704.20","37,013.25","36,497.95","36,160.30","36,647.90","487.60","1.35",89147735,"116,827,235,359.35","37,823.15","4,632.70","57.58","1.78"
"WIPRO","660.00","676.80","650.10","644.30","674.75","30.45","4.73",52300009,"34,850,110,997.15","739.85","348.35","84.51","2.97"
"INFY","1,820.00","1,842.00","1,806.75","1,771.60","1,823.00","51.40","2.90",18887243,"34,427,855,412.83","1,848.00","1,152.05","53.04","2.33"
"LTI","6,917.20","7,129.30","6,867.10","6,839.55","6,950.00","110.45","1.61",865305,"6,046,811,911.35","7,564.95","3,265.05","107.91","-2.37"
"MPHASIS","3,235.00","3,339.00","3,221.25","3,210.20","3,252.00","41.80","1.30",1266717,"4,142,785,281.33","3,659.75","1,320.95","137.68","-2.28"
"HCLTECH","1,172.00","1,182.90","1,165.00","1,159.75","1,170.00","10.25","0.88",6373455,"7,485,431,693.85","1,377.75","850.00","31.52","4.57"
"COFORGE","5,427.00","5,498.50","5,346.00","5,355.35","5,379.80","24.45","0.46",360707,"1,953,567,469.58","6,030.00","2,300.00","110.93","-3.22"
"TCS","3,602.50","3,651.35","3,573.70","3,581.60","3,574.90","-6.70","-0.19",4333992,"15,640,943,728.80","3,989.90","2,760.45","25.28","3.13"
"MINDTREE","4,635.00","4,700.00","4,570.55","4,591.05","4,579.35","-11.70","-0.25",918135,"4,255,390,460.70","5,060.00","1,399.70","210.80","-5.20"
"TECHM","1,669.20","1,675.00","1,626.90","1,652.65","1,640.15","-12.50","-0.76",3405084,"5,622,815,209.20","1,675.00","890.00","75.93","4.79"
"LTTS","5,560.00","5,599.00","5,377.55","5,523.00","5,448.00","-75.00","-1.36",437088,"2,401,523,194.56","5,820.80","1,831.00","147.69","-2.84"